link,year_of_manuf,mileage,price
https://auto.bazos.cz/inzerat/158154056/skoda-octavia-iii-20-tdi-110kw-xenony-ambition-plus.php,No match,217000,239000
https://auto.bazos.cz/inzerat/157066972/skoda-octavia-rs-dsg-fullled-acc-columbus-vyhrsedacky.php,2018,129183,549000
https://auto.bazos.cz/inzerat/157066943/skoda-octavia-iii-rs-fullled-navi-panorama-vyhrsedacky.php,2018,146831,522000
https://auto.bazos.cz/inzerat/158153145/skoda-octavia-iii-16tdi-sport-kuze-navi-2014-184978km.php,2013,178000,263000
https://auto.bazos.cz/inzerat/157842727/octavia-iii-2014-20-tdi-110kw-dsg.php,2014,219000,299000
https://auto.bazos.cz/inzerat/157246548/skoda-octavia.php,2015,329000,170000
https://auto.bazos.cz/inzerat/156538058/skoda-octavia-3-15tsi-110kw-plna-zaruka-2-roky-zdarma.php,2019,174810,428000
https://auto.bazos.cz/inzerat/156542867/skoda-octavia-combi-20-tdi-062017.php,2017,185900,330000
https://auto.bazos.cz/inzerat/155904809/octavia-iii-16tdi-81kw-style-1maj-2016-cr-digiklima-dph.php,2016,197000,264900
https://auto.bazos.cz/inzerat/158082074/octavia-3-116tiskm-16-tdi-2017-cr-puvod.php,No match,116000,300000
https://auto.bazos.cz/inzerat/158070595/skoda-octavia-3-combi-20tdi-110kw-dsg-fullledkuzevirtual.php,2018,93989,519000
https://auto.bazos.cz/inzerat/158070993/skoda-octavia-3-combi-20tdi-110kw-dsg-fullledtaznynavi.php,2018,131000,469000
https://auto.bazos.cz/inzerat/158071596/skoda-octavia-3-combi-20-tdi-110-kw-4x4-dsg-fullledtazne.php,2017,142354,475000
https://auto.bazos.cz/inzerat/158051122/octavia-3-rs-20-tdi-135kw.php,No match,138500,345000
https://auto.bazos.cz/inzerat/157889029/octavia-iii-20tdi-110kw-dsg-style-1maj-cr-digiklima-dph.php,2016,197000,304900
https://auto.bazos.cz/inzerat/158018727/skoda-octavia-3-style-20tdi-110-kw.php,2018,325000,325000
https://auto.bazos.cz/inzerat/158355744/skoda-octavia-3.php,2013,10000,230000
https://auto.bazos.cz/inzerat/158354977/skoda-octavia-3-fc-14tsi-110kw-koupcraccvyhrivsklo2017.php,2017,171400,319900
https://auto.bazos.cz/inzerat/158353670/skoda-octavia-3-ambit-7716-dpf-5g.php,2015,117468,280000
https://auto.bazos.cz/inzerat/158353030/skoda-octavia-3-fc-10tsi-85kw-koupcr1majiteltazne2019.php,2019,157400,349900
https://auto.bazos.cz/inzerat/158029287/skoda-octavia-3-combi-20-tdi-4x4.php,2014,149800,345000
https://auto.bazos.cz/inzerat/158349521/skoda-octavia-iii-14-tsi-110-kw-kamera-vyhrev-volantu.php,No match,71000,426000
https://auto.bazos.cz/inzerat/157119412/skoda-octavia-iii-tsi-style-navi-vyhrsedacky-senzory.php,2013,83828,330000
https://auto.bazos.cz/inzerat/158342982/skoda-octavia-3-4x4-20-tdi-110kwwebastonavitazne.php,2014,223000,249000
https://auto.bazos.cz/inzerat/158342910/skoda-octavia-3-rs-20-tsi.php,2017,85000,670000
https://auto.bazos.cz/inzerat/155860284/skoda-octavia-3-face-top-vybava-full-led-keyles-kamera.php,No match,209000,369000
https://auto.bazos.cz/inzerat/158337081/skoda-octavia-iii-14-tsi-103kw-elegance.php,2013,178000,249000
https://auto.bazos.cz/inzerat/158332826/skoda-octavia-3-rs-combi-20-tdi-dsg-135-kw-2014.php,No match,262000,285000
https://auto.bazos.cz/inzerat/158328249/prodam-vyfuk-duplex-z-octavia-3-rs-face-lift.php,No match,0253211,4500
https://auto.bazos.cz/inzerat/158324481/skoda-octavia-combi-14-tsi-g-tec-style-cng.php,2017,123000,358000
https://auto.bazos.cz/inzerat/158323531/octavia-3-rs-169kw-navi-kuze-dcc-acc-dph.php,No match,131000,445000
https://auto.bazos.cz/inzerat/158322046/octavia-3-combi-rs-4x4-20-tdi-151-kw-akcni-model-challenge.php,No match,109014,445000
https://auto.bazos.cz/inzerat/158321649/octavia-3-combi-14-tsi-103-kw.php,No match,105829,295000
https://auto.bazos.cz/inzerat/158320737/skoda-octavia-3-combi-10-tsi-85-kw-navi-full-led.php,No match,81323,380000
https://auto.bazos.cz/inzerat/158320452/octavia-14-tsi-103-kw-polokuze-el-kufr-top-stav.php,No match,149126,295000
https://auto.bazos.cz/inzerat/158320377/skoda-superb-20-tdi-125kw-dsg-2012-tazne.php,2012,400000,219900
https://auto.bazos.cz/inzerat/158320016/skoda-octavia-19-tdi-77kw-cr-tazne-zarizeni-facelift.php,2010,135000,179900
https://auto.bazos.cz/inzerat/158319958/octavia-14-tsi-110-kw-xenon-akcni-model-joy.php,No match,69399,359000
https://auto.bazos.cz/inzerat/158317088/skoda-octavia-20-tdi-110kw-cr-tazne-zarizeni.php,2015,328500,209900
https://auto.bazos.cz/inzerat/158314879/skoda-octavia-3-tdi-110kw-navi-servis-led-xenony.php,No match,15700,275000
https://auto.bazos.cz/inzerat/155963409/octavia-3-14-tsi-81kw-cng-style-dsg-2017-cr-fullled-dph.php,2017,184000,314900
https://auto.bazos.cz/inzerat/156686405/octavia-3-dsg-14tsi-110kw-style-1maj-2018-cr-lednavi-dph.php,2018,194000,369900
https://auto.bazos.cz/inzerat/158308491/skoda-octavia-3-rs-135kw.php,2014,7000,330000
https://auto.bazos.cz/inzerat/158306189/skoda-octavia-3-rs-20-tdi-135kw.php,2015,142000,395000
https://auto.bazos.cz/inzerat/156574604/skoda-octavia-iii-scout-20-tdi-135kw-dsg-navi-tazne.php,2015,120344,439000
https://auto.bazos.cz/inzerat/158294794/skoda-octavia-3-combi-16-tdi-85kw-facelift-automaticka-p.php,2018,135000,466000
https://auto.bazos.cz/inzerat/155905893/octavia-3-dsg-16tdi-85kw-style-1maj-2018-cr-fullled-dph.php,2018,143000,368900
https://auto.bazos.cz/inzerat/158290302/skoda-octavia-3-combi-drive-20tdi-110kw-top.php,No match,151890,379990
https://auto.bazos.cz/inzerat/157066677/skoda-octavia-iii-tsi-ambition-vyhrsedacky-senzory.php,2017,172224,479000
https://auto.bazos.cz/inzerat/158285302/skoda-octavia-3.php,2014,185000,239000
https://auto.bazos.cz/inzerat/158284779/skoda-octavia-3-20tdi-110kw-elegance-bixenony.php,2014,239000,239000
https://auto.bazos.cz/inzerat/158277811/skoda-octavia-iii-20tdi-110kw.php,2017,164000,348000
https://auto.bazos.cz/inzerat/158273235/prodam-skoda-octavia-combi-iii-12-tsi-77kw.php,2014,248000,215990
https://auto.bazos.cz/inzerat/157343782/skoda-octavia-iii-20-tdi-110kw-dsg-2016-189585km-navi.php,No match,189585,309000
https://auto.bazos.cz/inzerat/155906812/octavia-3-14-tsi-81kw-cng-style-2017-cr-fulllednavi-dph.php,2017,200000,314900
https://auto.bazos.cz/inzerat/158257327/skoda-octavia-3.php,No match,119000,438000
https://auto.bazos.cz/inzerat/158255478/skoda-octavia-3-dsg-20tdi-110kw-rv2018.php,2018,125600,359000
https://auto.bazos.cz/inzerat/158252838/skoda-octavia-3-20-tdi-110kw-4x4-2014.php,2014,174750,279000
https://auto.bazos.cz/inzerat/158251257/skoda-octavia-3-kombi-20tdi-110kw.php,No match,258400,265000
https://auto.bazos.cz/inzerat/158250845/octavia-3-rs-135kw.php,No match,221459,350000
https://auto.bazos.cz/inzerat/158247664/skoda-octavia-3-combi-20tdi-110kw-dsg-ledaccvyhroknonav.php,2018,129500,499000
https://auto.bazos.cz/inzerat/157268822/skoda-octavia-3fl-dsg-18-tsi-132kw-style.php,No match,78000,529000
https://auto.bazos.cz/inzerat/158240784/skoda-octavia-iii.php,2020,70000,429000
https://auto.bazos.cz/inzerat/158240372/skoda-octavia-3-20tdi110kw-velmi-krasne-auto.php,2015,195000,265000
https://auto.bazos.cz/inzerat/158233493/octavia-3-rs-tdi-dsg-facelift.php,No match,168000,550000
https://auto.bazos.cz/inzerat/158232205/skoda-octavia-3-combi-20tdi-110kw-rv2015-27000km.php,No match,27000,199900
https://auto.bazos.cz/inzerat/158217577/skoda-octavia-3-prevodovka-qfz.php,No match,22900,22900
https://auto.bazos.cz/inzerat/157797194/skoda-octavia-3-po-faceliftu.php,No match,30000,235500
https://auto.bazos.cz/inzerat/156397132/skoda-octavia-3-combi-facelift-16-tdi-automat.php,2017,180000,309000
https://auto.bazos.cz/inzerat/158202596/skoda-octavia-3-20-tdi-dsg.php,2014,205000,280000
https://auto.bazos.cz/inzerat/158197733/skoda-octavia-3-12-tsi-76000-km-1majitel-soukroma-osoba.php,2013,60000,259000
https://auto.bazos.cz/inzerat/158194120/skoda-octavia-3-rs-servisni-historiekoupeno-v-cr.php,2018,200000,459999
https://auto.bazos.cz/inzerat/158193506/skoda-octavia-3-combi.php,2016,350000,350000
https://auto.bazos.cz/inzerat/158193009/skoda-octavia-3-facelift20-tdi-dsgfull-led1majitel.php,2018,176000,420000
https://auto.bazos.cz/inzerat/158192074/prodam-skoda-octavia-3.php,2016,257000,195000
https://auto.bazos.cz/inzerat/158190278/octavia-3-20-tdi-110kw-dsg-153-000-km-cr.php,No match,153000,329000
https://auto.bazos.cz/inzerat/158189968/skoda-octavia-3-rs-zluta.php,2014,168000,320000
https://auto.bazos.cz/inzerat/157560032/skoda-octavia-combi-2017-16tdi-85kw-tazne.php,No match,130000,349000
https://auto.bazos.cz/inzerat/158189519/skoda-octavia-3-2015-14-cng-ambition-g-tec.php,2015,368941,139900
https://auto.bazos.cz/inzerat/158183877/octavia-3-motor-18tsi.php,No match,45000,50000
https://auto.bazos.cz/inzerat/158181615/skoda-octavia-3-combi-20tdi-110kw.php,No match,231000,285000
